"","Sitio","DATA","ViaSentido","VMD","Lon","Lat"
"1","01385016","2017-01","AV. FRANCISCO SA [O-L]",8765,-38.57269904,-3.71219008
"2","01385017","2017-01","AV. FRANCISCO SA [L-O]",9357,-38.57268072,-3.7121498
"3","01385028","2017-01","AV. GEN. OSORIO DE PAIVA [N-S]",16558,-38.61573,-3.81860992
"4","01385029","2017-01","AV. GEN. OSORIO DE PAIVA [S-N]",15843,-38.6156,-3.81874016
"5","01385030","2017-01","AV. GODOFREDO MACIEL [N-S]",19433,-38.57474,-3.81154996
"6","01385031","2017-01","AV. PRES. COSTA E SILVA [L-O]",21328,-38.57456904,-3.81175992
"7","01385033","2017-01","AV. PRES. CASTELO BRANCO [L-O]",15632,-38.57887072,-3.70405988
"8","01385034","2017-01","AV. PRES. CASTELO BRANCO [O-L]",16611,-38.57917024,-3.7040598
"9","01385035","2017-01","AV. FRANCISCO SA [O-L]",10403,-38.55875928,-3.71695988
"10","01385036","2017-01","AV. FRANCISCO SA [L-O]",9515,-38.55874904,-3.71691996
"11","01385039","2017-01","AV. FRANCISCO SA [L-O]",7912,-38.56048072,-3.71632988
"12","01385040","2017-01","AV. FRANCISCO SA [O-L]",7626,-38.56071904,-3.71629992
"13","01385041","2017-01","AV. PRES. CASTELO BRANCO [O-L]",18556,-38.55920976,-3.71112012
"14","01385042","2017-01","AV. PRES. CASTELO BRANCO [L-O]",21809,-38.5586484333846,-3.71112992027158
"15","01385048","2017-01","AV. DEMETRIO MENEZES [S-N]",16083,-38.58424,-3.73395008
"16","01385049","2017-01","AV. DEMETRIO MENEZES [N-S]",16287,-38.58435952,-3.73379012
"17","01385050","2017-01","AV. PRES. CASTELO BRANCO [L-O]",19862,-38.57411556,-3.70612868
"18","01385051","2017-01","AV. PRES. CASTELO BRANCO [O-L]",21031,-38.57463,-3.70613012
"19","01385052","2017-01","AV. BEZERRA DE MENEZES [O-L]",19400,-38.56093232,-3.73501044
"20","01385053","2017-01","AV. BEZERRA DE MENEZES [L-O]",17094,-38.5609605584191,-3.73472903465876
"21","01385054","2017-01","AV. BEZERRA DE MENEZES [O-L]",23459,-38.5485684206755,-3.73250250826197
"22","01385060","2017-01","AV. DUQUE DE CAXIAS [L-O]",13246,-38.53844096,-3.72898008
"23","01385061","2017-01","AV. DUQUE DE CAXIAS [O-L]",6933,-38.53862096,-3.729
"24","01385062","2017-01","AV. JORNALISTA THOMAZ COELHO [L-O]",17030,-38.52123904,-3.82865004
"25","01385069","2017-01","AV. JOSE BASTOS [S-N]",22806,-38.555441949715,-3.75510416192864
"26","01385070","2017-01","AV. JOSE BASTOS [N-S]",31637,-38.5554512688205,-3.75483104770276
"27","01385071","2017-01","R. ALBERTO MAGNO [N-S]",20281,-38.54668928,-3.76109008
"28","01385072","2017-01","AV. CORONEL CARVALHO [S-N]",10023,-38.5878288,-3.71760996
"29","01385074","2017-01","AV. PRES. CASTELO BRANCO [L-O]",23877,-38.56960024,-3.70790008
"30","01385075","2017-01","AV. PRES. CASTELO BRANCO [O-L]",24289,-38.56966072,-3.70801008
"31","01385076","2017-01","R. OSCAR ARARIPE [L-O]",8095,-38.59805096,-3.79159004
"32","01385089","2017-01","AV. DOMINGOS OLIMPIO [L-O]",18396,-38.53653976,-3.73485992
"33","01385096","2017-01","AV. JOAO PESSOA [S-N]",22046,-38.5535219083375,-3.75688994070456
"34","01385097","2017-01","R. METON DE ALENCAR [O-L]",9903,-38.53596928,-3.73193992
"35","01385098","2017-01","AV. DO IMPERADOR [N-S]",15776,-38.53585048,-3.73190984
"36","01385103","2017-01","AV. DUQUE DE CAXIAS [O-L]",10576,-38.53002024,-3.73179
"37","01385104","2017-01","AV. DUQUE DE CAXIAS [L-O]",12044,-38.52982024,-3.73178
"38","01385105","2017-01","AV. JOSE BASTOS [S-N]",25170,-38.5640943638716,-3.76015849953298
"39","01385107","2017-01","AV. OLIVEIRA PAIVA [L-O]",21441,-38.49986096,-3.79707
"40","01385108","2017-01","AV. DESEMBARGADOR GONZAGA [S-N]",16703,-38.49986,-3.79726008
"41","01385109","2017-01","AV. BARAO DE STUDART [S-N]",12724,-38.50884976,-3.74172988
"42","01385110","2017-01","R. PADRE VALDEVINO [L-O]",14067,-38.50876952,-3.74166988
"43","01385113","2017-01","AV. DUQUE DE CAXIAS [L-O]",12152,-38.53517976,-3.73005004
"44","01385115","2017-01","AV. DESEMBARGADOR MOREIRA [S-N]",7973,-38.49548904,-3.72746996
"45","01385116","2017-01","AV. DA ABOLICAO [O-L]",26871,-38.49559096,-3.72736988
"46","01385117","2017-01","AV. DA ABOLICAO [L-O]",23270,-38.49523072,-3.72724996
"47","01385118","2017-01","AV. CORONEL CARVALHO [S-N]",13541,-38.58618976,-3.72389004
"48","01385119","2017-01","AV. CORONEL CARVALHO [N-S]",10250,-38.58634,-3.72368
"49","01385124","2017-01","AV. 13 DE MAIO [L-O]",17294,-38.53896952,-3.74106004
"50","01385125","2017-01","AV. DA UNIVERSIDADE [S-N]",20492,-38.5391936563497,-3.74107155906312
"51","01385126","2017-01","AV. 13 DE MAIO [O-L]",16480,-38.539249,-3.74092012
"52","01385129","2017-01","AV. PONTES VIEIRA [L-O]",23052,-38.5204008,-3.7535
"53","01385131","2017-01","AV. OLAVO BILAC [N-S]",8057,-38.5642304,-3.73542996
"54","01385134","2017-01","AV. CORONEL MATOS DOURADO [N-S]",20070,-38.5848,-3.74848984
"55","01385148","2017-01","AV. SEN. VIRGILIO TAVORA [N-S]",11520,-38.4965206,-3.74720008
"56","01385149","2017-01","AV. ANTONIO SALES [O-L]",22933,-38.5094694,-3.74326008
"57","01385150","2017-01","AV. BARAO DE STUDART [N-S]",7874,-38.5093804,-3.74320984
"58","01385151","2017-01","AV. ANTONIO SALES [O-L]",24805,-38.50151,-3.74572992
"59","01385152","2017-01","AV. DESEMBARGADOR MOREIRA [N-S]",12022,-38.5014194,-3.74566
"60","01385153","2017-01","AV. GODOFREDO MACIEL [S-N]",18506,-38.5646892,-3.77966984
"61","01385160","2017-01","AV. ENG. SANTANA JUNIOR [S-N]",13403,-38.4829294,-3.7371098
"62","01385161","2017-01","AV. ENG. SANTANA JUNIOR [N-S]",7556,-38.4829006,-3.73688984
"63","01385162","2017-01","AV. ALBERTO CRAVEIRO [S-N]",18721,-38.517574484904,-3.79325908563981
"64","01385163","2017-01","AV. ALBERTO CRAVEIRO [N-S]",23047,-38.5178474774503,-3.79297286405486
"65","01385164","2017-01","AV. JOSE BASTOS [S-N]",21089,-38.5492206,-3.7488698
"66","01385165","2017-01","AV. SANTOS DUMONT [O-L]",16171,-38.5085108,-3.73292988
"67","01385166","2017-01","AV. PADRE ANTONIO TOMAÂ¡S [L-O]",19313,-38.4994906,-3.74018988
"68","01385167","2017-01","AV. BORGES DE MELO [O-L]",16830,-38.5323402,-3.75806008
